"";"name";"block";"anthroTreat";"empathTreat";"treatAnthroEmpath";"treatAnthroInter";"treatEmpathInter";"anthro";"empathy";"AnthroEmpath";"interEmpath";"interAnthro";"servFailure";"InitialTechTrustExpect";"PostIncTechTrustExpect";"PostIncTechTrustPerfor";"PostIncTechTrustDiconf";"PostIncTechTrustSatisf";"PostIncTechTrustIntent";"playfulness";"innovativeness";"robotSE";"ageNum";"trustingstance";"genderNum";"eduNum";"IntentOfUsageContinuat";"reUse"
"45";"PI_TechTr_Intention_1";"PostIncTechTrustIntent";0,054;0,129;0,141;-0,172;-0,158;0,227;0,235;0,258;-0,083;-0,019;-0,288;0,487;0,611;0,539;0,415;0,477;0,915;0,211;0,182;0,302;0,003;0,252;-0,124;-0,036;0,609;0,299
"46";"PI_TechTr_Intention_2";"PostIncTechTrustIntent";0,111;0;0,086;-0,087;-0,184;0,245;0,298;0,3;0,021;0,031;-0,214;0,509;0,639;0,52;0,381;0,451;0,916;0,244;0,221;0,297;0,042;0,197;-0,117;-0,002;0,613;0,332
"47";"PI_TechTr_Intention_3";"PostIncTechTrustIntent";0,052;0,101;0,113;-0,086;-0,104;0,265;0,269;0,309;0,018;0,068;-0,184;0,494;0,587;0,513;0,373;0,413;0,905;0,209;0,23;0,4;-0,064;0,223;-0,069;-0,005;0,605;0,327
"48";"Playful1_1";"playfulness";0,03;0,02;0,029;-0,106;-0,13;0,068;0,077;0,087;-0,085;-0,075;-0,167;0,373;0,251;0,153;0,037;0,119;0,246;0,879;0,535;0,189;-0,165;0,061;-0,159;0,057;0,254;0,269
"49";"Playful1_3";"playfulness";-0,031;0,046;0,006;-0,117;-0,092;-0,06;0,013;-0,01;-0,092;-0,138;-0,126;0,349;0,192;0,127;-0,046;0,124;0,198;0,875;0,616;0,204;-0,078;0,054;-0,221;0,066;0,26;0,222
"50";"Playful1_4";"playfulness";0,015;0,026;0,015;-0,125;-0,135;0,011;0,031;0,039;-0,123;-0,111;-0,172;0,343;0,231;0,109;-0,005;0,133;0,176;0,891;0,553;0,214;-0,085;0,026;-0,163;0,133;0,213;0,213
"51";"Playful2_2";"playfulness";-0,05;-0,086;-0,098;-0,085;-0,129;-0,024;0,02;0,004;-0,042;-0,09;-0,068;0,185;0,229;0,213;0,022;0,023;0,197;0,724;0,454;0,151;0,046;0,126;-0,075;-0,04;0,16;0,143
"52";"Innov_1";"innovativeness";-0,102;0,104;-0,005;-0,075;0,017;-0,027;0,001;-0,004;-0,032;-0,055;-0,043;0,327;0,1;0,042;-0,054;0,05;0,173;0,558;0,892;0,219;0,073;0,069;-0,226;0,072;0,252;0,306
"53";"Innov_2";"innovativeness";-0,056;0,049;0,001;-0,168;-0,097;-0,018;-0,026;-0,009;-0,136;-0,11;-0,148;0,208;0,132;0,081;0,024;0,158;0,249;0,463;0,836;0,172;-0,014;-0,005;-0,28;0,118;0,225;0,3
"54";"Innov_4";"innovativeness";-0,123;0,124;0,005;-0,178;-0,044;-0,051;0,034;-0,019;-0,088;-0,139;-0,13;0,322;0,161;0,057;-0,08;0,096;0,166;0,645;0,831;0,191;-0,021;0,017;-0,285;0,065;0,247;0,171
